_id,tuk,pingedAt,latitude,longitude,speedKmh,heading,source,resolvedDistrict,resolvedProvince
69f4b2b65a1fa00e9fa258ac,69e787ecc9f995641686c357,2026-04-24T14:03:33.492Z,6.86845,80.119127,7.69,233,simulated,69e61bdec9f995641686bf91,69d5361e883a363e698c3d2d
69f4b2b65a1fa00e9fa258ad,69e787ecc9f995641686c357,2026-04-24T17:03:33.492Z,6.860901,80.101731,0.7,246,simulated,69e61bdec9f995641686bf91,69d5361e883a363e698c3d2d
69f4b2b65a1fa00e9fa258ae,69e787ecc9f995641686c357,2026-04-24T20:03:33.492Z,6.858601,80.096446,0.21,246,simulated,69e61bdec9f995641686bf91,69d5361e883a363e698c3d2d
69f4b2b65a1fa00e9fa258af,69e787ecc9f995641686c357,2026-04-24T23:03:33.492Z,6.856805,80.068638,1.03,266,simulated,69e61bdec9f995641686bf91,69d5361e883a363e698c3d2d
69f4b2b65a1fa00e9fa258b0,69e787ecc9f995641686c357,2026-04-25T02:03:33.492Z,6.849549,80.03589,1.23,257,simulated,69e61bdec9f995641686bf91,69d5361e883a363e698c3d2d
69f4b2b65a1fa00e9fa258b1,69e787ecc9f995641686c357,2026-04-25T05:03:33.492Z,6.846739,80.022181,0.52,258,simulated,69e61bdec9f995641686bf91,69d5361e883a363e698c3d2d
69f4b2b65a1fa00e9fa258b2,69e787ecc9f995641686c357,2026-04-25T08:03:33.492Z,6.853465,80.005296,0.67,291,simulated,69e61bdec9f995641686bf91,69d5361e883a363e698c3d2d
69f4b2b65a1fa00e9fa258b3,69e787ecc9f995641686c357,2026-04-25T11:03:33.492Z,6.866145,79.98363,0.93,300,simulated,69e61bdec9f995641686bf91,69d5361e883a363e698c3d2d
69f4b2b65a1fa00e9fa258b4,69e787ecc9f995641686c357,2026-04-25T14:03:33.492Z,6.871299,79.963586,0.76,284,simulated,69e61bdec9f995641686bf91,69d5361e883a363e698c3d2d
69f4b2b65a1fa00e9fa258b5,69e787ecc9f995641686c357,2026-04-25T17:03:33.492Z,6.871647,79.961411,0.08,279,simulated,69e61bdec9f995641686bf91,69d5361e883a363e698c3d2d
